City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Srednekolymsk,RU,67.45,153.68,50.65,47,0,8.59,clear sky
163,Black River,JM,18.03,-77.85,82.4,74,20,3.36,few clouds
164,Rafaela,AR,-31.25,-61.49,54.0,58,0,3.0,clear sky
165,Yakeshi,CN,49.28,120.73,55.45,88,100,10.96,light rain
166,Fortuna,US,40.6,-124.16,70.0,56,1,13.87,clear sky
167,Ossora,RU,59.24,163.07,54.57,47,0,14.36,clear sky
168,Jalu,LY,29.03,21.55,77.58,47,0,9.37,clear sky
169,Aklavik,CA,68.22,-135.01,53.6,46,20,10.29,few clouds
170,Bossangoa,CF,6.49,17.46,69.48,94,100,2.73,overcast clouds
171,Dickinson,US,29.46,-95.05,86.0,70,75,5.82,broken clouds
172,New Norfolk,AU,-42.78,147.06,55.4,50,75,6.93,broken clouds
173,Chuy,UY,-33.7,-53.46,49.51,91,89,6.31,overcast clouds
174,Grand Gaube,MU,-20.01,57.66,66.2,82,40,11.41,scattered clouds
175,Kahului,US,20.89,-156.47,89.6,46,40,21.92,scattered clouds
176,Sobreira,PT,41.52,-7.8,64.0,75,0,2.59,clear sky
177,Garowe,SO,8.41,48.48,73.29,65,0,21.99,clear sky
178,Beidao,CN,34.57,105.89,70.25,67,100,1.1,overcast clouds
179,Nombre De Jesus,HN,15.35,-86.68,72.91,89,99,2.17,light rain
180,Tasiilaq,GL,65.61,-37.64,30.54,91,45,2.51,scattered clouds
181,Komsomolskiy,UZ,40.43,71.72,66.2,48,0,6.93,clear sky
182,Dikson,RU,73.51,80.55,42.15,88,100,13.15,overcast clouds
183,Ukiah,US,39.15,-123.21,93.2,21,1,8.05,clear sky
184,Inirida,CO,3.87,-67.92,77.88,77,100,1.66,overcast clouds
185,Sitka,US,57.05,-135.33,59.0,77,90,9.17,overcast clouds
186,Huarmey,PE,-10.07,-78.15,59.76,85,3,7.78,clear sky
187,Maniitsoq,GL,65.42,-52.9,47.26,90,100,6.46,light rain
188,Provideniya,RU,64.38,-173.3,43.77,64,60,3.13,broken clouds
189,Roald,NO,62.58,6.13,55.4,71,100,9.17,overcast clouds
190,Prince Rupert,CA,54.32,-130.32,57.2,93,90,4.7,overcast clouds
191,Whitefish,US,48.41,-114.34,87.8,15,1,8.05,clear sky
192,Alyangula,AU,-13.85,136.42,80.6,69,75,10.29,broken clouds
193,Hithadhoo,MV,-0.6,73.08,82.27,78,2,16.4,clear sky
194,Ribeira Grande,PT,38.52,-28.7,70.86,77,5,22.46,clear sky
195,Moron,AR,-34.65,-58.62,55.99,89,76,3.69,broken clouds
196,Kashary,RU,49.04,41.01,61.5,39,100,11.95,overcast clouds
197,Wenling,CN,28.37,121.36,72.0,80,62,6.46,broken clouds
198,Phalia,PK,32.43,73.58,76.87,77,6,1.83,clear sky
199,Upernavik,GL,72.79,-56.15,34.29,81,0,11.74,clear sky
200,San Jose,US,37.34,-121.89,84.99,39,75,8.05,smoke
201,Hornepayne,CA,49.21,-84.77,47.93,92,92,8.14,overcast clouds
202,Khani,GE,41.96,42.96,73.4,88,0,5.82,clear sky
203,Longyearbyen,SJ,78.22,15.64,44.6,93,75,3.36,broken clouds
204,Havoysund,NO,71.0,24.66,53.6,100,75,10.29,light intensity shower rain
205,Russell,US,32.35,-85.2,91.4,74,1,3.6,clear sky
206,Beringovskiy,RU,63.05,179.32,46.17,70,100,15.35,overcast clouds
207,Hovd,MN,48.01,91.64,59.07,45,0,10.18,clear sky
208,Muroto,JP,33.28,134.15,86.0,66,75,9.17,broken clouds
209,Fare,PF,-16.7,-151.02,78.3,75,0,14.61,clear sky
210,Antalaha,MG,-14.9,50.28,65.53,85,4,7.74,clear sky
211,Hirara,JP,24.8,125.28,84.2,79,40,13.87,scattered clouds
212,Sal Rei,CV,16.18,-22.92,78.8,88,75,12.75,broken clouds
213,Cherskiy,RU,68.75,161.3,46.09,56,17,6.35,few clouds
214,Agadez,NE,19.75,10.25,88.63,32,0,8.61,clear sky
215,Vila Velha,BR,-20.33,-40.29,75.2,69,0,13.87,clear sky
216,Olafsvik,IS,64.89,-23.71,45.72,72,100,3.38,overcast clouds
217,Plettenberg Bay,ZA,-34.05,23.37,58.91,80,88,3.53,overcast clouds
218,Cap Malheureux,MU,-19.98,57.61,66.2,82,40,11.41,scattered clouds
219,Tarauaca,BR,-8.16,-70.77,72.68,93,7,1.03,clear sky
220,Verkhnyaya Inta,RU,65.98,60.31,40.89,92,0,3.62,clear sky
221,Carutapera,BR,-1.2,-46.02,76.37,87,1,4.94,clear sky
222,San Cristobal,VE,7.77,-72.22,84.2,66,40,3.36,scattered clouds
223,Karasjok,NO,69.47,25.51,57.2,87,96,21.92,overcast clouds
224,Rusape,ZW,-18.53,32.13,46.4,94,0,5.32,clear sky
225,Gold Coast,AU,-28.0,153.43,77.0,47,100,16.11,overcast clouds
226,Lasa,IT,46.62,10.7,55.99,93,5,2.62,clear sky
227,Tuy Hoa,VN,13.08,109.3,84.13,71,12,4.52,few clouds
228,Bathsheba,BB,13.22,-59.52,80.6,83,20,6.93,few clouds
